date,temperature
1876-01-01,3.0635302598862504
1876-01-02,3.3634961984886975
1876-01-03,1.1634621370911449
1876-01-04,-4.936571924306407
1876-01-05,-8.936605985703961
1876-01-06,-6.836640047101513
1876-01-07,-5.736674108499065
1876-01-08,-8.036708169896619
1876-01-09,-11.83674223129417
1876-01-10,-8.036776292691723
1876-01-11,-5.336810354089276
1876-01-12,-3.736844415486828
1876-01-13,-2.636878476884381
1876-01-14,-2.736912538281934
1876-01-15,-2.2369465996794866
1876-01-16,-1.436980661077039
1876-01-17,-0.33701472247459163
1876-01-18,1.6629512161278557
1876-01-19,4.6629171547303025
1876-01-20,4.16288309333275
1876-01-21,4.762849031935198
1876-01-22,1.862814970537645
1876-01-23,1.4627809091400925
1876-01-24,3.36274684774254
1876-01-25,3.6627127863449873
1876-01-26,1.1626787249474348
1876-01-27,0.06264466354988207
1876-01-28,-1.3373893978476707
1876-01-29,-0.4374234592452231
1876-01-30,1.5625424793572242
1876-01-31,1.1625084179596716
1876-02-01,-1.2665447157859595
1876-02-02,0.13342122281648788
1876-02-03,0.7333871614189353
1876-02-04,1.8333531000213825
1876-02-05,0.53331903862383
1876-02-06,-0.8667150227737226
1876-02-07,-0.06674908417127523
1876-02-08,-3.166783145568828
1876-02-09,-0.6668172069663804
1876-02-10,-2.166851268363933
1876-02-11,-4.666885329761485
1876-02-12,-1.2669193911590382
1876-02-13,-5.4669534525565915
1876-02-14,-0.5669875139541435
1876-02-15,3.332978424648304
1876-02-16,5.332944363250752
1876-02-17,5.532910301853199
1876-02-18,6.5328762404556455
1876-02-19,8.032842179058093
1876-02-20,5.132808117660541
1876-02-21,3.832774056262988
1876-02-22,10.032739994865436
1876-02-23,8.332705933467883
1876-02-24,4.832671872070331
1876-02-25,2.832637810672778
1876-02-26,3.9326037492752253
1876-02-27,7.132569687877672
1876-02-28,7.43253562648012
1876-02-29,2.0325015650825673
1876-03-01,3.5160086204000933
1876-03-02,4.91597455900254
1876-03-03,2.3159404976049878
1876-03-04,6.415906436207434
1876-03-05,2.915872374809883
1876-03-06,3.2158383134123305
1876-03-07,2.7158042520147774
1876-03-08,0.615770190617225
1876-03-09,2.1157361292196724
1876-03-10,1.2157020678221198
1876-03-11,3.0156680064245673
1876-03-12,2.9156339450270146
